model,game,age,score
llama,ticket_to_ride,7,0.9153846153846154
llama,ticket_to_ride,11,0.9205128205128205
llama,ticket_to_ride,16,0.9
llama,dominion,7,0.35722543352601155
llama,dominion,11,0.3606936416184971
llama,dominion,16,0.39075144508670523
llama,catan,7,0.20229885057471264
llama,catan,11,0.18620689655172415
llama,catan,16,0.17777777777777778
llama,power_grid_recharged,7,0.09055374592833876
llama,power_grid_recharged,11,0.11270358306188925
llama,power_grid_recharged,16,0.11205211726384365
llama,7_wonders,7,0.0814207650273224
llama,7_wonders,11,0.10983606557377049
llama,7_wonders,16,0.11038251366120219
qwen,ticket_to_ride,7,0.8564102564102564
qwen,ticket_to_ride,11,0.9153846153846154
qwen,ticket_to_ride,16,0.9205128205128205
qwen,dominion,7,0.3491329479768786
qwen,dominion,11,0.41271676300578036
qwen,dominion,16,0.4439306358381503
qwen,catan,7,0.17011494252873563
qwen,catan,11,0.23448275862068965
qwen,catan,16,0.21379310344827587
qwen,power_grid_recharged,7,0.0996742671009772
qwen,power_grid_recharged,11,0.09641693811074918
qwen,power_grid_recharged,16,0.10488599348534201
qwen,7_wonders,7,0.0546448087431694
qwen,7_wonders,11,0.073224043715847
qwen,7_wonders,16,0.09781420765027322
gemma,ticket_to_ride,7,0.6974358974358974
gemma,ticket_to_ride,11,0.7794871794871795
gemma,ticket_to_ride,16,0.7923076923076923
gemma,dominion,7,0.37341040462427744
gemma,dominion,11,0.3953757225433526
gemma,dominion,16,0.42658959537572255
gemma,catan,7,0.16551724137931034
gemma,catan,11,0.16551724137931034
gemma,catan,16,0.18314176245210728
gemma,power_grid_recharged,7,0.11400651465798045
gemma,power_grid_recharged,11,0.11335504885993486
gemma,power_grid_recharged,16,0.11400651465798045
gemma,7_wonders,7,0.09508196721311475
gemma,7_wonders,11,0.08961748633879782
gemma,7_wonders,16,0.08633879781420765
